experiment_name,__run_id,__done,repetition,sampling,execution_time_ms,cpu_usage_percent,memory_usage_mb,cpu_energy_j
floyd_code_function_experiment,run_3_repetition_0,DONE,4,200,0.011,6.742,2890.296,66.943
floyd_code_function_experiment,run_4_repetition_0,DONE,5,200,0.011,7.239,2887.879,68.936
floyd_code_function_experiment,run_5_repetition_0,DONE,6,200,0.011,6.867,2893.974,69.989
floyd_code_function_experiment,run_6_repetition_0,DONE,7,200,0.011,7.035,2905.255,66.793
floyd_code_function_experiment,run_7_repetition_0,DONE,8,200,0.01,7.382,2899.372,68.283
floyd_code_function_experiment,run_8_repetition_0,DONE,9,200,0.011,7.042,2897.564,68.535
floyd_code_function_experiment,run_9_repetition_0,DONE,10,200,0.012,6.996,2892.284,67.568
rod_cutting_object_experiment,run_0_repetition_0,DONE,1,200,6217.417,7.279,2987.973,78.07
rod_cutting_object_experiment,run_1_repetition_0,DONE,2,200,6407.325,6.805,2960.024,77.957
rod_cutting_object_experiment,run_2_repetition_0,DONE,3,200,6236.176,6.947,2926.754,75.267
rod_cutting_object_experiment,run_3_repetition_0,DONE,4,200,6238.186,6.92,2923.679,76.158
rod_cutting_object_experiment,run_4_repetition_0,DONE,5,200,6236.61,6.934,2922.987,75.645
rod_cutting_object_experiment,run_5_repetition_0,DONE,6,200,6238.77,7.304,2917.544,76.077
rod_cutting_object_experiment,run_6_repetition_0,DONE,7,200,6532.092,6.906,2914.411,71.066
rod_cutting_object_experiment,run_7_repetition_0,DONE,8,200,6296.964,6.865,2915.091,72.408
rod_cutting_object_experiment,run_8_repetition_0,DONE,9,200,6251.823,7.191,2919.687,76.988
rod_cutting_object_experiment,run_9_repetition_0,DONE,10,200,6229.141,6.974,2923.256,78.666
matrix_chain_order_native_experiment,run_0_repetition_0,DONE,1,200,984.492,13.75,2941.677,20.639
matrix_chain_order_native_experiment,run_1_repetition_0,DONE,2,200,968.07,13.567,2933.522,18.739
matrix_chain_order_native_experiment,run_2_repetition_0,DONE,3,200,983.87,12.72,2964.389,18.845
matrix_chain_order_native_experiment,run_3_repetition_0,DONE,4,200,984.723,12.899,3002.719,18.266
matrix_chain_order_native_experiment,run_4_repetition_0,DONE,5,200,984.192,12.93,2968.955,18.256
matrix_chain_order_native_experiment,run_5_repetition_0,DONE,6,200,978.986,13.66,2996.034,18.398
